sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	CRITICAL	CVE-2026-33186	google.golang.org/grpc	v1.72.2	1.79.3	google.golang.org/grpc/grpc-go: google.golang.org/grpc/authz: gRPC-Go: Authorization bypass due to improper HTTP/2 path validation
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2020-10696	github.com/containers/buildah	v0.0.0-20260608000000-814007652dbc	1.14.4	buildah: Crafted input tar file may lead to local file overwrite during image build process
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2022-2990	github.com/containers/buildah	v0.0.0-20260608000000-814007652dbc	1.27.1	buildah: possible information disclosure and modification
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2024-11218	github.com/containers/buildah	v0.0.0-20260608000000-814007652dbc	1.38.1, 1.37.6, 1.35.5, 1.33.12	podman: buildah: Container breakout by using --jobs=2 and a race condition when building a malicious Containerfile
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2025-66506	github.com/sigstore/fulcio	v1.7.1	1.8.3	github.com/sigstore/fulcio: Fulcio: Denial of Service via crafted OpenID Connect (OIDC) token
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-17106	github.com/moby/go-archive	v0.1.0	0.3.0	github.com/moby/go-archive: moby/go-archive: Arbitrary file write via link following in tar extraction
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-25681	golang.org/x/net	v0.45.0	0.55.0	golang.org/x/net/html: golang.org/x/net/html: Arbitrary code execution via Cross-Site Scripting
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-27136	golang.org/x/net	v0.45.0	0.55.0	golang.org/x/net/html: golang: golang.org/x/net/html: Cross-Site Scripting via HTML parsing bypass
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-29181	go.opentelemetry.io/otel	v1.36.0	1.41.0	github.com/open-telemetry/opentelemetry-go: OpenTelemetry-Go: Denial of Service via crafted multi-value baggage headers
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-33747	github.com/moby/buildkit	v0.25.1	0.28.1	BuildKit: github.com/moby/buildkit: BuildKit: Arbitrary file write and code execution via untrusted frontend
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-33748	github.com/moby/buildkit	v0.25.1	0.28.1	github.com/moby/buildkit: BuildKit: Unauthorized file access via Git URL fragment subdir components
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-33814	golang.org/x/net	v0.45.0	0.53.0	net/http/internal/http2: golang: golang.org/x/net: Go HTTP/2: Denial of Service via malformed SETTINGS_MAX_FRAME_SIZE frame
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-33818	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	encoding/asn1: golang: Go encoding/asn1: Denial of Service via excessive recursion in Unmarshal
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-39821	golang.org/x/net	v0.45.0	0.55.0	golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-39821	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-39822	stdlib	v1.26.4	1.25.12, 1.26.5, 1.27.0-rc.2	golang: Go os.Root: Symlink following vulnerability allows directory traversal
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-39828	golang.org/x/crypto	v0.43.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Unauthorized command execution via discarded SSH permissions
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-39829	golang.org/x/crypto	v0.43.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted public key with excessive parameters
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-39830	golang.org/x/crypto	v0.43.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via resource leak from unsolicited SSH responses
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-39831	golang.org/x/crypto	v0.43.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Security key bypass due to missing user presence check
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-39832	golang.org/x/crypto	v0.43.0	0.52.0	golang.org/x/crypto/ssh/agent: golang.org/x/crypto/ssh/agent: Security bypass due to improper handling of key restrictions
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-39835	golang.org/x/crypto	v0.43.0	0.52.0	golang.org/x/crypto/ssh: golang: golang.org/x/crypto/ssh: Denial of Service via crafted SSH certificate
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-41567	github.com/docker/docker	v28.5.1+incompatible		docker: Moby/Docker Engine: Arbitrary Code Execution via malicious container image and compressed archive upload
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-42306	github.com/docker/docker	v28.5.1+incompatible		github.com/docker/docker: github.com/moby/moby: Moby container framework: Host file overwrite via race condition in docker cp mount setup
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-42508	golang.org/x/crypto	v0.43.0	0.52.0	golang.org/x/crypto/ssh/knownhosts: golang: golang.org/x/crypto/ssh/knownhosts: Revocation bypass via unchecked SignatureKey
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-46595	golang.org/x/crypto	v0.43.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authorization bypass due to skipped source-address validation
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-46597	golang.org/x/crypto	v0.43.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted AES-GCM packet decoder inputs
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-46600	golang.org/x/net	v0.45.0	0.56.0	golang.org/x/net/dns/dnsmessage: golang.org/x/net/dns/dnsmessage: Denial of Service via invalid DNS record parsing
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-46600	stdlib	v1.26.4	1.26.6, 1.27.0-rc.3	golang.org/x/net/dns/dnsmessage: golang.org/x/net/dns/dnsmessage: Denial of Service via invalid DNS record parsing
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-49478	github.com/sigstore/fulcio	v1.7.1	1.8.6	github.com/sigstore/fulcio: Fulcio: Server-Side Request Forgery and Kubernetes ServiceAccount token leakage
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-56852	golang.org/x/text	v0.30.0	0.39.0	golang.org/x/text: golang.org/x/text: Denial of Service via invalid UTF-8 input
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-56853	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	net/http: golang: Go net/http: Unencrypted HTTP/2 connections vulnerable to Denial of Service
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-56854	golang.org/x/crypto	v0.43.0	0.55.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authentication bypass due to unenforced source-address restrictions
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-56858	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	html/template: golang: Go html/template: Cross-Site Scripting via pathological input
